series_title,runtime,genre,rating,release_year,end_year,duration,cast,synopsis
The Collector,60,Drama,6.6,2004,2006,2,"Chris Kramer, Aidan Drummond, Sonya Salomaa, Ellen Dubin","Centuries ago, Morgan Pym made a deal with Satan: his soul, in exchange for 10 years with his one true love. After she died, Morgan--desperate to avoid eternity in hell--agreed to become a ...                See full summary »"
The Collector,60,Fantasy,6.6,2004,2006,2,"Chris Kramer, Aidan Drummond, Sonya Salomaa, Ellen Dubin","Centuries ago, Morgan Pym made a deal with Satan: his soul, in exchange for 10 years with his one true love. After she died, Morgan--desperate to avoid eternity in hell--agreed to become a ...                See full summary »"
Shinui,60,Drama,8.0,2012,2012,0,"Lee Min-Ho, Kim Hee-seon, Yoon Kyun-Sang, Park Se-young","When the queen-to-be of medieval Korea is badly wounded, Captain Choi Young uses a wormhole to ""heaven,"" which is actually 21st-century South Korea, to bring back the spoiled Dr. Yoo Eun-Soo who becomes a pawn in a game of human chess."
Shinui,60,Fantasy,8.0,2012,2012,0,"Lee Min-Ho, Kim Hee-seon, Yoon Kyun-Sang, Park Se-young","When the queen-to-be of medieval Korea is badly wounded, Captain Choi Young uses a wormhole to ""heaven,"" which is actually 21st-century South Korea, to bring back the spoiled Dr. Yoo Eun-Soo who becomes a pawn in a game of human chess."
Shinui,60,History,8.0,2012,2012,0,"Lee Min-Ho, Kim Hee-seon, Yoon Kyun-Sang, Park Se-young","When the queen-to-be of medieval Korea is badly wounded, Captain Choi Young uses a wormhole to ""heaven,"" which is actually 21st-century South Korea, to bring back the spoiled Dr. Yoo Eun-Soo who becomes a pawn in a game of human chess."
Ultra City Smiths,18,Animation,6.6,2021,2021,0,"Julian Barratt, Kristen Bell, Chris Conrad, Luis Guzmán",Follows the investigation into the mysterious disappearance of fictional metropolis Ultra City's most famous magnate by two intrepid detectives.
Ultra City Smiths,18,Comedy,6.6,2021,2021,0,"Julian Barratt, Kristen Bell, Chris Conrad, Luis Guzmán",Follows the investigation into the mysterious disappearance of fictional metropolis Ultra City's most famous magnate by two intrepid detectives.
Ultra City Smiths,18,Crime,6.6,2021,2021,0,"Julian Barratt, Kristen Bell, Chris Conrad, Luis Guzmán",Follows the investigation into the mysterious disappearance of fictional metropolis Ultra City's most famous magnate by two intrepid detectives.
The Same Sky,120,Drama,7.4,2017,2017,0,"Tom Schilling, Sofia Helin, Friederike Becht, Ben Becker","Lars is a ""Romeo agent"" from East Germany in the 1970s. His task is to go West, first to seduce and then to spy on Western women who worked in government or defense institutions."
The Same Sky,120,Thriller,7.4,2017,2017,0,"Tom Schilling, Sofia Helin, Friederike Becht, Ben Becker","Lars is a ""Romeo agent"" from East Germany in the 1970s. His task is to go West, first to seduce and then to spy on Western women who worked in government or defense institutions."
The Millionaire Matchmaker,43,Reality-TV,4.5,2008,2015,7,"Patti Stanger, Destin Pfaff, Rachel Federoff, Kevin Strom","In Los Angeles, Patti Stanger runs an agency that pairs millionaires with the men and women of their dreams."
The Millionaire Matchmaker,43,Romance,4.5,2008,2015,7,"Patti Stanger, Destin Pfaff, Rachel Federoff, Kevin Strom","In Los Angeles, Patti Stanger runs an agency that pairs millionaires with the men and women of their dreams."
Hebburn,,Comedy,7.2,2012,2013,1,"Chris Ramsey, Kimberley Nixon, Lisa McGrillis, Pat Dunn","Set in the town of Hebburn in Tyne and Wear, this series follows the Pearson family, Joe, Pauline and their son Jack, who has secretly married a middle-class Jewish girl, Sarah, on a drunken binge in Las Vegas."
The Tripods,30,Adventure,7.4,1984,1985,1,"John Shackley, Ceri Seel, Jim Baker, Robin Hayter","Earth has been conquered by an alien race known as the Masters using their giant Tripods. When humans reach the age of sixteen, they must undergo a process known as capping which places ...                See full summary »"
The Tripods,30,Drama,7.4,1984,1985,1,"John Shackley, Ceri Seel, Jim Baker, Robin Hayter","Earth has been conquered by an alien race known as the Masters using their giant Tripods. When humans reach the age of sixteen, they must undergo a process known as capping which places ...                See full summary »"
The Tripods,30,Sci-Fi,7.4,1984,1985,1,"John Shackley, Ceri Seel, Jim Baker, Robin Hayter","Earth has been conquered by an alien race known as the Masters using their giant Tripods. When humans reach the age of sixteen, they must undergo a process known as capping which places ...                See full summary »"
Mathnet,60,Comedy,8.6,1987,1992,5,"Joe Howard, Beverly Leech, Bari K. Willerford, Mary Watson",A team of detectives use mathematics and logic to solve crimes.
Mathnet,60,Crime,8.6,1987,1992,5,"Joe Howard, Beverly Leech, Bari K. Willerford, Mary Watson",A team of detectives use mathematics and logic to solve crimes.
Mathnet,60,Family,8.6,1987,1992,5,"Joe Howard, Beverly Leech, Bari K. Willerford, Mary Watson",A team of detectives use mathematics and logic to solve crimes.
Case Sensitive,60,Crime,6.8,2011,2012,1,"Olivia Williams, Darren Boyd, Peter Wight, Ralph Ineson","When Geraldine Bretherick and her five-year-old daughter Lucy are found dead in the bathroom of their luxury home, the case divides new DS Charlie Zailer and her DC Simon Waterhouse."
Case Sensitive,60,Thriller,6.8,2011,2012,1,"Olivia Williams, Darren Boyd, Peter Wight, Ralph Ineson","When Geraldine Bretherick and her five-year-old daughter Lucy are found dead in the bathroom of their luxury home, the case divides new DS Charlie Zailer and her DC Simon Waterhouse."
My Mother the Car,30,Comedy,4.6,1965,1966,1,"Jerry Van Dyke, Maggie Pierce, Ann Sothern, Cindy Eilbacher","The story of the relationship between a man and his mother, the latter having been reincarnated as a 1928 Porter automobile."
My Mother the Car,30,Fantasy,4.6,1965,1966,1,"Jerry Van Dyke, Maggie Pierce, Ann Sothern, Cindy Eilbacher","The story of the relationship between a man and his mother, the latter having been reincarnated as a 1928 Porter automobile."
Mighty Max,30,Animation,7.9,1993,1995,2,"Rob Paulsen, Tony Jay, Richard Moll, Corey Burton","Max, a twelve-year-old boy, finds a magical cap that can teleport him across dimensions."
Mighty Max,30,Action,7.9,1993,1995,2,"Rob Paulsen, Tony Jay, Richard Moll, Corey Burton","Max, a twelve-year-old boy, finds a magical cap that can teleport him across dimensions."
Mighty Max,30,Adventure,7.9,1993,1995,2,"Rob Paulsen, Tony Jay, Richard Moll, Corey Burton","Max, a twelve-year-old boy, finds a magical cap that can teleport him across dimensions."
Captain Tsubasa: Road to 2002,25,Animation,7.7,2001,2002,1,"Akira Ishida, Kenichi Suzumura, Rica Matsumoto, Kikuko Inoue",It shows the journey of a Japanese kid who wants to become the best footballer in the world and win the football World Cup for Japan.
Captain Tsubasa: Road to 2002,25,Adventure,7.7,2001,2002,1,"Akira Ishida, Kenichi Suzumura, Rica Matsumoto, Kikuko Inoue",It shows the journey of a Japanese kid who wants to become the best footballer in the world and win the football World Cup for Japan.
Captain Tsubasa: Road to 2002,25,Drama,7.7,2001,2002,1,"Akira Ishida, Kenichi Suzumura, Rica Matsumoto, Kikuko Inoue",It shows the journey of a Japanese kid who wants to become the best footballer in the world and win the football World Cup for Japan.
Granite Flats,50,Drama,7.9,2013,2015,2,"Jonathan Morgan Heit, Richard Gunn, Charlie Plummer, Malia Tyler","When a mysterious object falls from the sky and an Army base explodes, three young amateur sleuths try to unveil the secrets of the small town."
Joseph the Prophet,55,Biography,7.5,2008,2009,1,"Mostafa Zamani, Katayoun Riahi, Mojtaba Makhdoumi, Mohammad Safari","This story basically follows the most important happenings in Prophet Josephs life, from the view of muslims. The most important happenings are: 1. his travel to egypt 2. his rise and ...                See full summary »"
